layer,history_tokens,new_tokens,history_variant,item_variant,unique_history_tokens,unique_new_tokens,history_coverage_pct,new_coverage_pct,history_mib,all_mib,history_sha256,candidate_suffix_sha256,source_input_sha256
1,4096,128,0,2,3631,128,88.6474609375,100.0,2.2715911865234375,2.3516693115234375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,7ad1543f39c5560980bdca0cbf9b6c268302bbc463a4612fdf79b99dc8db5609,dfa75b2339bb14acd7d9541f2a3fea59555d824dbd16b30707a0ec178ee66ca1
2,4096,128,0,2,3584,128,87.5,100.0,2.2421875,2.322265625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,7ad1543f39c5560980bdca0cbf9b6c268302bbc463a4612fdf79b99dc8db5609,dfa75b2339bb14acd7d9541f2a3fea59555d824dbd16b30707a0ec178ee66ca1
0,4096,256,0,0,3981,256,97.1923828125,100.0,2.4905548095703125,2.6507110595703125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,f8caff9e9a4fd44040f19aa6a25fc48ec327fe7a5a842a48eef69dbbc25bfbcb,8daed30995bab346c0b3786dcd3ebd55ab2c5151bb46c2bd282a3990351404d0
1,4096,256,0,0,3849,256,93.9697265625,100.0,2.4079742431640625,2.5681304931640625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,f8caff9e9a4fd44040f19aa6a25fc48ec327fe7a5a842a48eef69dbbc25bfbcb,8daed30995bab346c0b3786dcd3ebd55ab2c5151bb46c2bd282a3990351404d0
2,4096,256,0,0,3777,256,92.2119140625,100.0,2.3629302978515625,2.5230865478515625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,f8caff9e9a4fd44040f19aa6a25fc48ec327fe7a5a842a48eef69dbbc25bfbcb,8daed30995bab346c0b3786dcd3ebd55ab2c5151bb46c2bd282a3990351404d0
0,4096,256,0,1,3999,256,97.6318359375,100.0,2.5018157958984375,2.6619720458984375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,df58c57df4b684f1741f5a99beb576ad0e1b86556b4ff553664bb2dc644f5761,8d7498da89508390f84174d5250cf90644943678642836c46825a6f758b3c6f0
1,4096,256,0,1,3866,256,94.384765625,100.0,2.418609619140625,2.578765869140625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,df58c57df4b684f1741f5a99beb576ad0e1b86556b4ff553664bb2dc644f5761,8d7498da89508390f84174d5250cf90644943678642836c46825a6f758b3c6f0
2,4096,256,0,1,3774,256,92.138671875,100.0,2.361053466796875,2.521209716796875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,df58c57df4b684f1741f5a99beb576ad0e1b86556b4ff553664bb2dc644f5761,8d7498da89508390f84174d5250cf90644943678642836c46825a6f758b3c6f0
0,4096,256,0,2,3992,256,97.4609375,100.0,2.4974365234375,2.6575927734375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,6ddc7f1a61898ebe2fe24fe28fc4a7220a8ca0c22998948f662d46f38732c0d1,40b3bc892d7c82551a7acc3262f15cb4a80d1daa03d5e77147123430edea8d66
1,4096,256,0,2,3866,256,94.384765625,100.0,2.418609619140625,2.578765869140625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,6ddc7f1a61898ebe2fe24fe28fc4a7220a8ca0c22998948f662d46f38732c0d1,40b3bc892d7c82551a7acc3262f15cb4a80d1daa03d5e77147123430edea8d66
2,4096,256,0,2,3762,256,91.845703125,100.0,2.353546142578125,2.513702392578125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,6ddc7f1a61898ebe2fe24fe28fc4a7220a8ca0c22998948f662d46f38732c0d1,40b3bc892d7c82551a7acc3262f15cb4a80d1daa03d5e77147123430edea8d66
0,4096,512,0,0,4025,512,98.2666015625,100.0,2.5180816650390625,2.8383941650390625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,013feea748f8ae41b04cf0bf98307210e6566be9a69bd4e8d17da0dfe805a1fd,f3903ce1b13f44472a1872466cb6f93225cb096266bafe20773243f138b21298
1,4096,512,0,0,3979,512,97.1435546875,100.0,2.4893035888671875,2.8096160888671875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,013feea748f8ae41b04cf0bf98307210e6566be9a69bd4e8d17da0dfe805a1fd,f3903ce1b13f44472a1872466cb6f93225cb096266bafe20773243f138b21298
2,4096,512,0,0,3962,512,96.728515625,100.0,2.478668212890625,2.798980712890625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,013feea748f8ae41b04cf0bf98307210e6566be9a69bd4e8d17da0dfe805a1fd,f3903ce1b13f44472a1872466cb6f93225cb096266bafe20773243f138b21298
0,4096,512,0,1,4032,512,98.4375,100.0,2.5224609375,2.8427734375,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,640b772a61dd987adceda5099ef648e8ccc2ab91ba30d9d089590174834a66aa,db8684746a3b0ace1ee71685dfa39162e9159d4319de077ee111c0eaefb3419b
1,4096,512,0,1,3988,512,97.36328125,100.0,2.49493408203125,2.81524658203125,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,640b772a61dd987adceda5099ef648e8ccc2ab91ba30d9d089590174834a66aa,db8684746a3b0ace1ee71685dfa39162e9159d4319de077ee111c0eaefb3419b
2,4096,512,0,1,3960,512,96.6796875,100.0,2.4774169921875,2.7977294921875,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,640b772a61dd987adceda5099ef648e8ccc2ab91ba30d9d089590174834a66aa,db8684746a3b0ace1ee71685dfa39162e9159d4319de077ee111c0eaefb3419b
0,4096,512,0,2,4036,512,98.53515625,100.0,2.52496337890625,2.84527587890625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,c855cdb4ee88f893dee2cd7172325549ea24ae63bc0d3b9e74448291b81e960f,56182f766f12b1b0f9c966ba9e9909d101b84c4252391b39524c7f16c414ea27
1,4096,512,0,2,3984,512,97.265625,100.0,2.492431640625,2.812744140625,fdafd908177e335b298532c7f37bc50e45386d4bf4a382281b3c727921bf7955,c855cdb4ee88f893dee2cd7172325549ea24ae63bc0d3b9e74448291b81e960f,56182f766f12b1b0f9c966ba9e9909d101b84c4252391b39524c7f16c414ea27
